model,fold,mae,rmse,r2,smape_pct
bagging_extra_tree,1,124.46411069639235,184.9327742699412,0.968509130809906,9.442862626277268
bagging_extra_tree,2,162.80311318564796,217.56162425889855,0.9502640496596243,12.111078083909751
bagging_extra_tree,3,176.67488314676012,248.87063017238157,0.9431410249771239,10.369487109822527
bagging_extra_tree,4,165.03007720304862,227.55012931546986,0.9416131109680286,9.290112377140298
bagging_extra_tree,5,155.22926699576243,214.62716497533,0.9564160972583854,9.245359191542418
hist_gradient_boosting,1,130.9898465788481,191.64334136778515,0.9661822782090596,9.70645831759169
hist_gradient_boosting,2,164.8801590803485,223.3318670321909,0.9475908363848602,11.870407849810574
hist_gradient_boosting,3,174.91947858607625,245.7238849315421,0.944569795927094,10.339731031916786
hist_gradient_boosting,4,160.07580328233416,221.62484068065515,0.9446142507289691,8.768871918978311
hist_gradient_boosting,5,155.0377008184542,216.4587762563549,0.9556690399681922,9.274500510400015
xgboost,1,130.58545358008158,191.95235385348292,0.9660731325090295,9.650255139636535
xgboost,2,162.94099945073057,220.3598432482762,0.9489764413502513,11.669237122818958
xgboost,3,170.0409169090662,239.58028197213656,0.9473068847598936,9.961443975712085
xgboost,4,157.60009771261616,219.31398822938755,0.9457632287559623,8.702990887722736
xgboost,5,151.9641050714813,211.53892476744284,0.9576613190191581,8.987524726844596
