model,mae_mean,mae_std,mse_mean,mse_std,rmse_mean,rmse_std,r2_mean,r2_std
naive_lag_1,230.28439407266993,11.79320083195252,323877.2929743588,273087.47723802045,536.8622605984782,211.11669201963412,0.9956702453471522,0.004277726984140178
linear_regression,303.2483255685191,58.90257129512492,356772.9488013729,331140.0446240125,556.045991544973,243.8898421627597,0.9952606966147872,0.005115953370332317
ridge,414.7581576704123,294.4855500889291,531415.2022010855,460660.1154033127,668.9451076484567,323.897447416386,0.993884183679272,0.005086726594125582
gradient_boosting,570.7148753494505,405.0229366121408,1386767.5480356202,1729342.4064967202,1025.3002034407496,647.6177893441258,0.9863351668845037,0.012682613023843678
random_forest,636.5099646059048,577.2460809418968,1624744.865221662,2247941.707952738,1085.1360821428066,747.6835464063511,0.9844510909815124,0.01653170091840774
