feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
consumption_lag_1,0.9919757818091975,9299.787014809417,1.0,1.0,True,,True,True
day_of_year_cos,0.0003284376504139335,22.985939192364402,1.0,0.33426758579806864,True,,True,True
fourier_yearly_cos_2,0.00048587831771259747,10.65383426400682,1.0,0.3338784694873558,True,,True,True
same_period_previous_year,0.0001325930252017102,32.70244804117101,0.6666666666666666,0.22343893501638856,True,,True,True
rolling_std_30,0.0005528117562380758,2.321315052909851,0.6666666666666666,0.22249118655768826,True,,True,True
fourier_yearly_sin_2,0.00022488167331107588,3.6152190491116585,0.6666666666666666,0.22242736985677844,True,,True,True
rolling_slope_30,0.00025787541076324744,2.1392452252018264,0.6666666666666666,0.22238555323360265,True,,True,True
day_over_day_change,7.810331301408238e-05,1.8291082118974142,0.6666666666666666,0.22231402819133986,True,,True,True
rolling_min_30,0.0012112446893961398,28.68107764105829,0.3333333333333333,0.11254614446935451,True,,True,True
consumption_lag_14,3.61693433412515e-05,5.144384036033084,0.3333333333333333,0.11130765583246843,True,,True,True
day_of_year_sin,0.00011366790602686091,2.05575819731611,0.3333333333333333,0.11122299168151147,True,,True,True
rolling_slope_7,6.438047146319112e-05,1.3954946920439053,0.3333333333333333,0.11118276373861617,True,,True,True
consumption_lag_365,3.8599811524309294e-05,1.2602995447434673,0.3333333333333333,0.11116925485577671,True,,True,True
rolling_max_30,2.34192676749304e-05,1.3145236469375163,0.3333333333333333,0.11116609730276238,True,,True,True
growth_7d,7.826654224780717e-05,0.7905157588286101,0.3333333333333333,0.1111657455416033,True,,True,True
consumption_lag_30,6.843546798537332e-05,0.26912677318905115,0.3333333333333333,0.11114375380332588,True,,True,True
rolling_std_7,0.00012064010246253523,-1.6485871222629234,0.0,4.053865852870854e-05,True,,True,True
is_canada_ontario_holiday,7.176702676078776e-05,0.16337543472846694,0.0,2.9971737578904967e-05,True,,True,True
fourier_weekly_cos_1,2.0332879207822694e-05,0.1946482481704379,0.0,1.3809250983568954e-05,True,,True,True
fourier_weekly_cos_2,1.5819713670897968e-05,0.19398275545081178,0.0,1.2268839949429295e-05,True,,True,True
rolling_min_7,0.0016690237464757564,56.15735139924043,1.0,0.33590702928877075,True,consumption_lag_1,False,False
rolling_max_7,0.0013015816334684823,23.013847516823713,1.0,0.33459559140882256,True,consumption_lag_1,False,False
fourier_yearly_cos_1,0.0003556857416460958,18.141500769427925,1.0,0.3341031022038347,True,day_of_year_cos,False,False
rolling_median_7,0.00011775218112747879,1.9455773120899493,1.0,0.33344263711539246,True,consumption_lag_1,False,False
ema_7,0.00010805700124437256,1.9198503291590405,0.6666666666666666,0.22232734600060422,True,consumption_lag_1,False,False
rolling_mean_7,0.000133185366968609,0.4336654411601406,0.6666666666666666,0.22228252038251314,True,consumption_lag_1,False,False
same_weekday_previous_week,4.5505629439084424e-05,15.649831309488759,0.3333333333333333,0.11168734105433024,True,consumption_lag_1,False,False
fourier_yearly_sin_1,0.0001130858290427668,1.7923170475426558,0.3333333333333333,0.11121335353498468,True,day_of_year_sin,False,False
consumption_lag_7,2.885727621718594e-05,0.33663703295102704,0.0,2.176302193966784e-05,True,consumption_lag_1,False,False
ema_30,4.192225581670572e-05,-0.5119706375918137,0.0,1.4087123424272365e-05,True,consumption_lag_14,False,False
fourier_weekly_sin_2,2.031826034781754e-05,0.1213131291908288,0.0,1.1175779525840378e-05,True,,True,False
rolling_median_30,3.115160063457638e-05,-2.177636297764885,0.0,1.0467863297281001e-05,True,consumption_lag_14,False,False
rolling_mean_30,2.9772454313956615e-05,-1.055667648959161,0.0,1.0004429160443363e-05,True,consumption_lag_14,False,False
day_of_week_sin,2.6912820867928825e-05,-0.07218104685154762,0.0,9.043507365621484e-06,True,,True,False
fourier_weekly_sin_1,2.3668357436670083e-05,-0.10999730853412758,0.0,7.953271262833644e-06,True,,True,False
month,1.7064948427032383e-05,-1.4502733163741104,0.0,5.734329654671199e-06,True,,True,False
season,1.5092980498747399e-05,-0.2127214749273738,0.0,5.071689845498826e-06,True,,True,False
day_of_week_cos,1.4670090128341083e-05,-0.002201946858000773,0.0,4.9295861173765414e-06,True,,True,False
day_of_week,6.285712467750739e-06,0.035105386884932456,0.0,3.3704725428861535e-06,True,,True,False
is_weekend,1.2999358163488477e-06,0.013966208762447724,0.0,9.374094777464737e-07,True,,True,False
