outer_fold,model,trial_number,inner_cv_mean_mae,state,parameters_json
1,gradient_boosting,2,3182.928489069766,COMPLETE,"{""learning_rate"": 0.024211811894855925, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 200}"
1,gradient_boosting,3,3213.548237167074,COMPLETE,"{""learning_rate"": 0.022224225120147708, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
1,gradient_boosting,4,3193.5231461442672,COMPLETE,"{""learning_rate"": 0.032307295647369214, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 250}"
1,gradient_boosting,5,3184.045250077358,COMPLETE,"{""learning_rate"": 0.0510600057356542, ""max_depth"": 4, ""min_samples_leaf"": 8, ""n_estimators"": 250}"
1,gradient_boosting,6,5908.585319072967,COMPLETE,"{""learning_rate"": 0.011868968768420632, ""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 75}"
1,gradient_boosting,7,3161.5915153584747,COMPLETE,"{""learning_rate"": 0.07168190137295621, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
1,gradient_boosting,8,3563.50971497505,COMPLETE,"{""learning_rate"": 0.037129295316425476, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 75}"
1,gradient_boosting,9,3137.4804044591524,COMPLETE,"{""learning_rate"": 0.08865544374511886, ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 75}"
1,gradient_boosting,10,3144.2699135079956,COMPLETE,"{""learning_rate"": 0.16415440362870193, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 125}"
1,gradient_boosting,11,3195.3304615049756,COMPLETE,"{""learning_rate"": 0.19467297369281653, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 150}"
1,gradient_boosting,12,3208.025670463737,COMPLETE,"{""learning_rate"": 0.11472474114869266, ""max_depth"": 2, ""min_samples_leaf"": 3, ""n_estimators"": 150}"
1,gradient_boosting,13,7239.585668005039,COMPLETE,"{""learning_rate"": 0.010981095138799237, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
1,gradient_boosting,14,3231.890739801242,COMPLETE,"{""learning_rate"": 0.05960864262254198, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 125}"
1,gradient_boosting,15,3151.848002789105,COMPLETE,"{""learning_rate"": 0.11494908168456162, ""max_depth"": 5, ""min_samples_leaf"": 4, ""n_estimators"": 175}"
1,gradient_boosting,16,4591.935299206734,COMPLETE,"{""learning_rate"": 0.01837561429446173, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
1,gradient_boosting,17,4045.144796727792,COMPLETE,"{""learning_rate"": 0.04180414753134087, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
1,gradient_boosting,18,3152.069196242729,COMPLETE,"{""learning_rate"": 0.10510386862139996, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 175}"
1,gradient_boosting,19,3128.793852373431,COMPLETE,"{""learning_rate"": 0.1369408421305021, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
2,ridge,0,1078.4486273150048,COMPLETE,"{""alpha"": 2.6511375980537273}"
2,ridge,1,788.3865455716578,COMPLETE,"{""alpha"": 0.001888080717345809}"
2,ridge,2,1042.6595618530973,COMPLETE,"{""alpha"": 1.7292990110051834}"
2,ridge,3,964.6175842661623,COMPLETE,"{""alpha"": 0.7918552074908762}"
2,ridge,4,803.7284693740364,COMPLETE,"{""alpha"": 0.048310092490597374}"
2,ridge,5,788.8703832998727,COMPLETE,"{""alpha"": 0.0034469500695928916}"
2,ridge,6,1018.501452572916,COMPLETE,"{""alpha"": 1.344859637204682}"
2,ridge,7,1077.05197982533,COMPLETE,"{""alpha"": 15.820155424118369}"
2,ridge,8,789.7802829267339,COMPLETE,"{""alpha"": 0.006345824399031277}"
2,ridge,9,788.4414352808672,COMPLETE,"{""alpha"": 0.002065590157180846}"
2,ridge,10,803.6934741643029,COMPLETE,"{""alpha"": 0.04820700631771044}"
2,ridge,11,788.1517412153523,COMPLETE,"{""alpha"": 0.0011267382749294828}"
2,ridge,12,793.0900949688041,COMPLETE,"{""alpha"": 0.01661798330447018}"
2,ridge,13,788.1944364863684,COMPLETE,"{""alpha"": 0.0012654210874208764}"
2,ridge,14,795.4852721922134,COMPLETE,"{""alpha"": 0.023870611406835555}"
2,ridge,15,788.141138016469,COMPLETE,"{""alpha"": 0.0010922797756563335}"
2,ridge,16,843.2517206616279,COMPLETE,"{""alpha"": 0.17072534586157462}"
2,ridge,17,788.1378278915196,COMPLETE,"{""alpha"": 0.0010815210560658852}"
2,ridge,18,790.9386283046654,COMPLETE,"{""alpha"": 0.009983474185197972}"
2,ridge,19,1467.8555390641936,COMPLETE,"{""alpha"": 67.17924719048263}"
2,random_forest,0,1756.8986197245533,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.673014505052933, ""min_samples_leaf"": 5, ""n_estimators"": 100}"
2,random_forest,1,1708.6476950070949,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.6588117786980308, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
2,random_forest,2,1789.590299772763,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.6213914645108469, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
2,random_forest,3,1602.446714671096,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.9082196135972961, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
2,random_forest,4,1573.4284765792127,COMPLETE,"{""max_depth"": 13, ""max_features"": 0.9735265340080184, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
2,random_forest,5,1551.7299563798965,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.9525900082197601, ""min_samples_leaf"": 2, ""n_estimators"": 250}"
