date,model,actual,prediction,residual,absolute_error
2020-06-25,linear_regression,131057.1014,128470.88031712537,2586.221082874632,2586.221082874632
2019-10-30,linear_regression,105484.2778,103033.5453975455,2450.732402454494,2450.732402454494
2019-01-24,linear_regression,104759.9772,102333.82771077596,2426.14948922403,2426.14948922403
2020-08-27,linear_regression,118444.7436,120763.46135507585,-2318.7177550758497,2318.7177550758497
2018-11-29,linear_regression,105847.3593,108053.42909417246,-2206.0697941724648,2206.0697941724648
2019-11-08,linear_regression,106806.4989,105009.80885868164,1796.6900413183612,1796.6900413183612
2018-09-26,linear_regression,114561.6102,112833.49338619443,1728.1168138055655,1728.1168138055655
2020-06-04,linear_regression,117347.0183,115637.2562652149,1709.7620347850898,1709.7620347850898
2019-10-03,linear_regression,106524.0207,108071.48207542096,-1547.4613754209713,1547.4613754209713
2019-07-03,linear_regression,117178.7424,118674.11143099456,-1495.3690309945523,1495.3690309945523
2018-11-07,linear_regression,108946.7119,107542.08398122396,1404.6279187760374,1404.6279187760374
2020-06-18,linear_regression,126140.9153,124807.37802535253,1333.5372746474604,1333.5372746474604
2020-07-03,linear_regression,135002.3896,133700.19830995056,1302.1912900494353,1302.1912900494353
2019-01-04,linear_regression,101005.5512,99823.53936249748,1182.0118375025195,1182.0118375025195
2020-05-20,linear_regression,107409.3968,106294.34087145832,1115.055928541682,1115.055928541682
2020-03-27,linear_regression,98978.50841,100025.28627570225,-1046.7778657022573,1046.7778657022573
2020-06-03,linear_regression,115288.2774,114298.15654767405,990.1208523259556,990.1208523259556
2020-07-10,linear_regression,133249.0301,134233.04077856394,-984.0106785639364,984.0106785639364
2020-05-30,linear_regression,112856.2934,111903.07701581028,953.2163841897127,953.2163841897127
2020-01-22,linear_regression,103250.5283,102312.03724654081,938.4910534591909,938.4910534591909
