Date,Consumption,consumption_lag_1,consumption_lag_7,consumption_lag_14,consumption_lag_30,consumption_lag_365,rolling_mean_7,rolling_median_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_slope_7,rolling_mean_30,rolling_median_30,rolling_std_30,rolling_min_30,rolling_max_30,rolling_slope_30,ema_7,ema_30,day_over_day_change,growth_7d,day_of_week,month,is_weekend,season,day_of_year_sin,day_of_year_cos,day_of_week_sin,day_of_week_cos,fourier_weekly_sin_1,fourier_weekly_cos_1,fourier_weekly_sin_2,fourier_weekly_cos_2,fourier_yearly_sin_1,fourier_yearly_cos_1,fourier_yearly_sin_2,fourier_yearly_cos_2,is_canada_ontario_holiday,same_weekday_previous_week,same_period_previous_year
2009-07-01,108637.2762,,,,,,,,,,,,,,,,,,,,,,2,7,0,summer,0.027886386762765406,-0.9996110990947017,0.9749279121818236,-0.22252093395631434,-0.781831482469204,0.6234898018572612,-0.9749279121809855,-0.2225209339599864,0.01855643065163797,-0.9998278146168323,-0.037106471011032,0.9993113177629419,1,,
2009-07-02,108638.8474,108637.2762,,,,,,,,,,,,,,,,,,,,,3,7,0,summer,0.010687021817909606,-0.9999428921516786,0.43388373911755823,-0.900968867902419,-1.00928475299821e-12,1.0,-2.01856950599642e-12,1.0,0.0013547182806051999,-0.9999990823687691,-0.002709434074946793,0.9999963294767604,0,,
2009-07-03,108633.8275,108638.8474,,,,,,,,,,,,,,,,,,,1.5712000000057742,,4,7,0,summer,-0.006515505718515781,-0.9999787738673417,-0.433883739117558,-0.9009688679024191,0.7818314824679454,0.6234898018588394,0.9749279121818838,-0.2225209339560505,-0.01584739498985401,-0.9998744221511197,0.03169080981616165,0.9994977201440711,0,,
2009-07-04,109082.4222,108633.8275,,,,,,,,,,,,,,,,,,,-5.019899999999325,,5,7,1,summer,-0.0237161051327942,-0.9997187336232778,-0.9749279121818236,-0.2225209339563146,0.9749279121816593,-0.22252093395703446,-0.433883739118889,-0.9009688679017782,-0.03304481856858723,-0.9994538708543628,0.06605354366010925,0.9978160799315383,0,,
2009-07-05,109071.758,109082.4222,,,,,,,,,,,,,,,,,,,448.59470000000147,,6,7,1,summer,-0.04090968628179356,-0.999162848372739,-0.7818314824680299,0.6234898018587334,0.43388373911774414,-0.9009688679023296,-0.7818314824682873,0.6234898018584106,-0.05023246325225428,-0.9987375529315051,0.10033809485255639,0.9949533992712218,0,,
2009-07-06,109071.758,109071.758,,,,,,,,,,,,,,,,,,,-10.664199999999255,,0,7,0,summer,-0.05809116109928645,-0.99831128261787,0.0,1.0,-0.4338837391165206,-0.9009688679029187,0.7818314824665938,0.6234898018605342,-0.06740524273142304,-0.9977256803612494,0.13450388332824842,0.9909130665046358,0,,
2009-07-07,109373.0604,109071.758,,,,,,,,,,,,,,,,,,,0.0,,1,7,0,summer,-0.07525544510164994,-0.9971642883610266,0.7818314824680298,0.6234898018587336,-0.9749279121817618,-0.22252093395658504,0.43388373911805833,-0.9009688679021782,-0.08455807509569507,-0.9964185525852631,0.16851046959249696,0.9856998638722216,0,,
2009-07-08,109982.4894,109373.0604,108637.2762,,,,108929.84995714285,109071.758,293.7971970505186,108633.8275,109373.0604,125.39658214285923,,,,,,,109010.55599853516,,301.3024000000005,,2,7,0,summer,-0.09239745889250749,-0.9957222050302019,0.9749279121818236,-0.22252093395631434,-0.7818314824687921,0.6234898018577776,-0.9749279121812795,-0.2225209339586984,-0.10168588433750163,-0.9948165564195743,0.20231760258622503,0.9793199618530005,0,108637.2762,
2009-07-09,110118.0528,109982.4894,108638.8474,,,,109122.02327142857,109071.758,462.211544676507,108633.8275,109982.4894,196.38312857143032,,,,,,,109253.53934890138,,609.4290000000037,0.012382611632525567,3,7,0,summer,-0.10951212966586969,-0.9939854593785795,0.43388373911755823,-0.900968867902419,-3.487249381011464e-13,1.0,-6.974498762022928e-13,1.0,-0.11878360185440756,-0.9929201659400888,0.23588526732847961,0.9717809118609871,0,108638.8474,
2009-07-10,110273.6161,110118.0528,108633.8275,,,,109333.33832857144,109082.4222,536.6368414520637,108633.8275,110118.0528,234.07545357143474,,,,,,,109469.66771167604,,135.5633999999991,0.013615805353251624,4,7,0,summer,-0.12659439270731607,-0.9919545653582456,-0.433883739117558,-0.9009688679024191,0.7818314824683573,0.6234898018583229,0.9749279121815899,-0.2225209339573385,-0.13584616794896878,-0.9907299423423017,0.2691737322790089,0.9630916373071612,0,108633.8275,
2009-07-11,110438.7989,110273.6161,109082.4222,,,,109567.59384285715,109373.0604,538.2923561230456,109071.758,110273.6161,234.88938214285596,,,,,,,109670.65480875703,,155.56329999999434,0.015094640755431358,5,7,1,summer,-0.14363919289279092,-0.9896301239680952,-0.9749279121818236,-0.2225209339563146,0.9749279121823218,-0.2225209339541317,-0.43388373911352385,-0.9009688679043619,-0.1528685333259552,-0.9882465337752373,0.3021435963653592,0.9532624230375426,0,109082.4222,
2009-07-12,110438.7989,110438.7989,109071.758,,,,109761.36194285714,109982.4894,577.2544436783346,109071.758,110438.7989,258.9225464285809,,,,,,,109862.69083156777,,165.18279999999504,0.012434420437722856,6,7,1,summer,-0.16064148618455396,-0.987012823075981,-0.7818314824680299,0.6234898018587334,0.43388373911878786,-0.900968867901827,-0.7818314824697318,0.6234898018565993,-0.16984566058677705,-0.9854706751496167,0.33475583561936767,0.9423049031596826,0,109071.758,
2009-07-13,110438.7989,110438.7989,109071.758,,,,109956.6535,110118.0528,534.7478912749742,109071.758,110438.7989,232.99022857143328,,,,,,,110006.71784867583,,0.0,0.01253340851075301,0,7,0,summer,-0.17759624112385647,-0.9841034372151523,0.0,1.0,-0.43388373911711575,-0.9009688679026322,0.7818314824674176,0.6234898018595012,-0.18677252571996836,-0.9824031879204097,0.36697184936648725,0.9302320472723675,0,109071.758,
2009-07-14,110340.7991,110438.7989,109373.0604,,,,110151.94505714286,110273.6161,386.9074906917087,109373.0604,110438.7989,158.23502142857092,,,,,,,110114.73811150687,,0.0,0.01253340851075301,1,7,0,summer,-0.19449844031989072,-0.9809028273550494,0.7818314824680298,0.6234898018587336,-0.9749279121819088,-0.22252093395594105,0.43388373911686806,-0.9009688679027514,-0.20364411958815817,-0.9790449798437066,0.3987535059149554,0.9170581451143279,0,109373.0604,
2009-07-15,110420.2059,110340.7991,109982.4894,108637.2762,,,110290.19344285714,110340.7991,179.53674898788162,109982.4894,110438.7989,67.20014642857059,,,,,,,110171.25335863016,,-97.9997999999905,0.008848053592546284,2,7,0,summer,-0.21134308193457638,-0.9774119406465193,0.9749279121818236,-0.22252093395631434,-0.7818314824683803,0.6234898018582941,-0.9749279121815735,-0.2225209339574104,-0.2204554494101921,-0.9753970447081282,0.4300631876890073,0.9027987896507005,0,109982.4894,
2009-07-16,109923.9532,110420.2059,110118.0528,108638.8474,,,110352.72437142857,110420.2059,121.27881599060085,110118.0528,110438.7989,37.172332142867525,,,,,,,110233.49149397261,,79.40679999999702,0.003979874454451064,3,7,0,summer,-0.22812518116274869,-0.9736318101415252,0.43388373911755823,-0.900968867902419,3.118348767959173e-13,1.0,6.236697535918346e-13,1.0,-0.23720154023883266,-0.9714604620406975,0.46086383575436296,0.8874708586166509,0,110118.0528,
2009-07-17,109903.7392,109923.9532,110273.6161,108633.8275,,,110324.99585714286,110420.2059,187.81337577877161,109923.9532,110438.7989,-42.2919464285664,,,,,,,110156.10692047946,,-496.2526999999973,-0.0017626501292438523,4,7,0,summer,-0.24483977170729954,-0.9695635544874391,-0.433883739117558,-0.9009688679024191,0.781831482467635,0.6234898018592286,0.9749279121821054,-0.2225209339550797,-0.2538774364329025,-0.9672363967873921,0.4911189936819616,0.8710924945405151,0,110273.6161,
2009-07-18,109737.5018,109903.7392,110438.7989,109082.4222,,,110272.1563,110420.2059,247.29076842125392,109903.7392,110438.7989,-94.76655357142653,,,,,,,110093.0149903596,,-20.214000000007218,-0.0033541740361954352,5,7,1,summer,-0.26148190724884907,-0.965208377596001,-0.9749279121818236,-0.2225209339563146,0.9749279121821748,-0.2225209339547757,-0.4338837391147142,-0.9009688679037887,-0.2704782031237163,-0.9627260989684271,0.5207928506985705,0.8536830832699314,0,110438.7989,
2009-07-19,109737.5018,109737.5018,110438.7989,109071.758,,,110171.971,110340.7991,304.0675261519759,109737.5018,110438.7989,-128.24487857142464,,,,,,,110004.13669276971,,-166.23739999999816,-0.006350097130583663,6,7,1,summer,-0.2780466629094963,-0.9605675682870481,-0.7818314824680299,0.6234898018587334,0.4338837391181927,-0.9009688679021135,-0.7818314824689081,0.6234898018576321,-0.28699892767564067,-0.9579309033082879,0.5498502840736729,0.8352632310260648,0,110438.7989,
2009-07-20,109737.7123,109737.5018,110438.7989,109071.758,,,110071.7857,109923.9532,316.7672804911862,109737.5018,110438.7989,-136.67687857142633,,,,,,,109937.47796957727,,0.0,-0.006350097130583663,0,7,0,summer,-0.2945291367102338,-0.9556424999071171,0.0,1.0,-0.4338837391177109,-0.9009688679023455,0.7818314824682413,0.6234898018584684,-0.3034347211396619,-0.952852228840808,0.5782569006912318,0.8158547400137912,0,110438.7989,
2009-07-21,109618.6759,109737.7123,110340.7991,109373.0604,,,109971.63047142855,109903.7392,291.1866294093434,109737.5018,110420.2059,-120.04000000000114,,,,,,,109887.53655218295,,0.21050000000104774,-0.006348191097540043,1,7,0,summer,-0.3109244510215808,-0.9504346299230308,0.7818314824680298,0.6234898018587336,-0.9749279121820558,-0.22252093395529704,0.4338837391156778,-0.9009688679033246,-0.31978071970038285,-0.9474915784891733,0.6059790777586392,0.7954805826158103,0,110340.7991,
