feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
consumption_lag_1,0.1363015363917076,0.7560036730360858,1.0,0.940586220799282,True,,True,True
rolling_median_7,0.10049581376322403,0.442023609341828,0.6666666666666666,0.6277279329067206,True,,True,True
ema_7,0.028573004136004217,0.9108501698513796,0.6666666666666666,0.624856770216065,True,,True,True
day_of_year_cos,0.04783840629457973,0.45837218683651654,1.0,0.6171062068104339,True,,True,True
month,0.13743387844872434,0.12508524416135755,0.3333333333333333,0.49022044884912325,True,,True,True
rolling_slope_7,0.028474118277880545,0.21616813163482115,1.0,0.48150326779204206,True,,True,True
rolling_std_7,0.01527614266806456,0.16790717622081044,1.0,0.4318312767347397,True,,True,True
rolling_min_7,0.010352090580148588,0.09100397027600722,1.0,0.3917450581614381,True,,True,True
fourier_yearly_sin_2,0.07888136215303153,0.2429892356687914,0.3333333333333333,0.3913546268204952,True,,True,True
consumption_lag_14,0.03718044624552774,0.10490063694266875,0.6666666666666666,0.350789278871899,True,,True,True
rolling_mean_7,0.02075251616645332,0.3966320594479831,0.3333333333333333,0.30659530680257135,True,,True,True
rolling_slope_30,0.012117269629582606,0.0806154777070058,0.6666666666666666,0.28111347095560485,True,,True,True
growth_7d,0.009397001026429682,0.04363138004246316,0.6666666666666666,0.26098106389771486,True,,True,True
same_weekday_previous_week,0.01136237550334114,0.018367282377918317,0.6666666666666666,0.2565022898863282,True,,True,True
rolling_mean_30,0.048095620407617536,0.07659993630573385,0.3333333333333333,0.2557950457729594,True,,True,True
day_of_year_sin,0.026452391824911447,-0.07749467091295063,0.3333333333333333,0.175268974086119,True,,True,True
fourier_yearly_cos_2,0.023000844031397894,-0.05901074309979132,0.3333333333333333,0.16689755981652585,True,,True,True
consumption_lag_7,0.010397250395116428,0.03967543524416008,0.3333333333333333,0.1508482548716631,True,,True,True
day_over_day_change,0.011737688838704421,-0.01416191082802669,0.3333333333333333,0.1395798044958689,True,,True,True
fourier_weekly_sin_2,0.006269586225279543,0.034446369426751035,0.3333333333333333,0.13892336109805348,True,,True,True
fourier_yearly_cos_1,0.05372388690684508,0.2736316985137985,1.0,0.5637735568656778,True,day_of_year_cos,False,False
ema_30,0.04976887427007868,0.04633278131634715,0.3333333333333333,0.24877684866578978,True,rolling_mean_30,False,False
rolling_max_30,0.005315256757458607,0.025119681528661175,0.3333333333333333,0.13319554162173627,True,,True,False
rolling_std_30,0.007727311250323314,0.0016369426751598564,0.3333333333333333,0.13045205257859985,True,,True,False
rolling_max_7,0.00554127591879891,0.010341995753714294,0.3333333333333333,0.12833571122013307,True,,True,False
day_of_week,0.004874048890592542,-0.0029723354564750322,0.3333333333333333,0.12293267200911782,True,,True,False
fourier_weekly_sin_1,0.0028298382665325242,-0.003620530785561963,0.3333333333333333,0.11797462564497067,True,,True,False
fourier_yearly_sin_1,0.0297594877463183,-0.09406377919320834,0.0,0.07217892240794026,True,day_of_year_sin,False,False
rolling_median_30,0.010788098533869963,-0.5087213163481962,0.0,0.02616554873669651,True,,True,False
consumption_lag_30,0.008421526247317901,-0.01151543524415916,0.0,0.020425643570991647,True,,True,False
fourier_weekly_cos_1,0.003811470581981058,0.003952101910828769,0.0,0.01069067931855453,True,,True,False
rolling_min_30,0.0032851001767694476,-0.008954840764334547,0.0,0.007967710761106346,True,,True,False
day_of_week_sin,0.0030331042560147827,0.0008967940552016291,0.0,0.0076847070254222214,True,,True,False
day_of_week_cos,0.0026580574684406805,-0.0030078768577509393,0.0,0.006446875880589088,True,,True,False
same_period_previous_year,0.002542703221823157,-0.00022127388535497043,0.0,0.006167094679816816,True,,True,False
fourier_weekly_cos_2,0.002214847567490449,0.0008967940552045899,0.0,0.005700100081438432,True,,True,False
consumption_lag_365,0.0013414957574614938,-0.0041564118895962565,0.0,0.003253675567731278,True,,True,False
is_india_holiday,0.0005886200418978614,0.003767197452231249,0.0,0.0028062820193401213,True,,True,False
season,0.0010681731818680386,-0.01053630573248524,0.0,0.00259075659734211,True,,True,False
is_weekend,0.0003174799503902682,0.0009127600849261341,0.0,0.0011040509371694903,True,,True,False
