feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
month,0.15368852790470633,0.5625635593220369,0.6666666666666666,0.8496764604816076,True,,True,True
ema_7,0.02593135732755578,0.3364576271186432,1.0,0.5654831936801993,True,,True,True
consumption_lag_1,0.07911921352032962,0.09404943502824838,1.0,0.5541052765609426,True,,True,True
consumption_lag_14,0.039339178157973255,0.24828107344633032,1.0,0.5484625775548965,True,,True,True
day_of_year_cos,0.11602222453335805,0.138649717514125,0.6666666666666666,0.5463507269276738,True,,True,True
rolling_slope_7,0.03696079794499967,0.4517867231638426,0.6666666666666666,0.5385903633548647,True,,True,True
fourier_yearly_sin_2,0.0371342874766582,0.3976299435028232,0.6666666666666666,0.5106522581555311,True,,True,True
rolling_max_30,0.004705533506610018,0.637564971751415,0.3333333333333333,0.45465022356312107,True,,True,True
rolling_median_7,0.028925032835062415,0.030365819209040506,1.0,0.41194444881541575,True,,True,True
rolling_min_7,0.008970176175367016,0.06980790960452386,1.0,0.389285796458346,True,,True,True
ema_30,0.05570839660949814,0.13731638418079348,0.3333333333333333,0.30372853069700995,True,,True,True
rolling_slope_30,0.011154666349038769,0.06490536723164056,0.6666666666666666,0.280349442090239,True,,True,True
rolling_mean_7,0.015476121964839615,0.037019774011298405,0.6666666666666666,0.27514298248192287,True,,True,True
same_weekday_previous_week,0.013460770599153326,0.04274576271186644,0.6666666666666666,0.27376558530696293,True,,True,True
rolling_std_7,0.024509236744264015,0.16597457627118598,0.3333333333333333,0.2510441695551607,True,,True,True
same_period_previous_year,0.0015972962254874965,0.10407627118644101,0.3333333333333333,0.16898888877455479,True,,True,True
fourier_yearly_cos_2,0.023179720127858964,-0.024624293785310173,0.3333333333333333,0.16138534745973307,True,,True,True
day_of_year_sin,0.020524026940574296,-0.09956638418079133,0.3333333333333333,0.15562544413775511,True,,True,True
growth_7d,0.010705569170980062,0.03304519774011503,0.3333333333333333,0.15160707461272957,True,,True,True
day_over_day_change,0.013956056616538889,0.016936440677967467,0.3333333333333333,0.150234999397903,True,,True,True
fourier_yearly_cos_1,0.1272408241549062,0.02624717514124425,0.3333333333333333,0.4008049294672577,True,day_of_year_cos,False,False
rolling_mean_30,0.05137236752449476,0.011786723163844689,0.3333333333333333,0.22869443028545192,True,ema_30,False,False
rolling_std_30,0.00895294937291935,0.028073446327683747,0.3333333333333333,0.14520649342252345,True,,True,False
rolling_max_7,0.006766175856255449,0.03476836158192533,0.3333333333333333,0.14396387729187207,True,,True,False
consumption_lag_7,0.011466812441852672,-0.013036723163839171,0.3333333333333333,0.13598135267085112,True,,True,False
fourier_weekly_sin_2,0.005335851761946227,0.007437853107346251,0.3333333333333333,0.1265726576606837,True,,True,False
day_of_week,0.0038964696048429787,0.00639830508474534,0.3333333333333333,0.12290729863049847,True,,True,False
rolling_min_30,0.0018043341812626066,0.004891242937854538,0.3333333333333333,0.1175817634054333,True,,True,False
fourier_yearly_sin_1,0.025966613586742154,-0.07646610169491518,0.0,0.05631869847575221,True,day_of_year_sin,False,False
consumption_lag_30,0.011431562473961937,0.00031779661017109054,0.0,0.024959939526330733,True,,True,False
rolling_median_30,0.010438338326561577,-0.5457161016949146,0.0,0.02263959552668283,True,,True,False
fourier_weekly_cos_1,0.0024368117968620305,0.006331920903955061,0.0,0.008595644840817636,True,,True,False
fourier_weekly_sin_1,0.003274880107665294,-0.014093220338984242,0.0,0.007102850924774,True,,True,False
day_of_week_sin,0.0029435737039537266,-0.009278248587569966,0.0,0.006384284162443302,True,,True,False
day_of_week_cos,0.00283133104152924,-0.00011299435028130716,0.0,0.006140842304301747,True,,True,False
fourier_weekly_cos_2,0.001588439488044027,-0.006388418079094886,0.0,0.003445148681990824,True,,True,False
season,0.00033515023020619963,0.004115819209039746,0.0,0.0028787466179990063,True,,True,False
is_india_holiday,0.0004279953385314766,0.0011214689265549064,0.0,0.0015146035388161208,True,,True,False
is_weekend,0.00042132827660815706,1.6949152543214503e-05,0.0,0.0009226755968631145,True,,True,False
consumption_lag_365,0.0,0.0,0.0,0.0,True,,True,False
