feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
rolling_median_7,0.1705347417556097,1.568229081632645,1.0,1.0,True,,True,True
consumption_lag_1,0.14637828067580064,1.1492812925169809,1.0,0.8637338931451599,True,,True,True
day_of_year_cos,0.12370561160844183,0.3647008843537276,0.6666666666666666,0.5415402798490825,True,,True,True
consumption_lag_14,0.030924295017963743,0.3536245238095174,1.0,0.4689433715159785,True,,True,True
ema_7,0.024734442366751107,0.25114952380952,1.0,0.4350629939984307,True,,True,True
growth_7d,0.009894491689981038,0.13200357142856564,1.0,0.38073134680896326,True,,True,True
rolling_mean_7,0.018942012734616143,0.4079182823129222,0.6666666666666666,0.34595161542126734,True,,True,True
rolling_slope_7,0.024444976370339266,0.2475167006802681,0.6666666666666666,0.32261391123471367,True,,True,True
rolling_std_7,0.014190592769080518,0.18890045918367024,0.6666666666666666,0.2901112091799404,True,,True,True
day_over_day_change,0.016414808298999693,0.05402030612244957,0.6666666666666666,0.2657894273704699,True,,True,True
fourier_yearly_cos_2,0.020091886845427207,0.017962755102036477,0.6666666666666666,0.2653126012206123,True,,True,True
rolling_std_30,0.00944466362278184,0.05848377551020173,0.6666666666666666,0.253114060342185,True,,True,True
rolling_min_7,0.009605549243937951,0.024049744897958428,0.6666666666666666,0.24610944289308767,True,,True,True
rolling_max_30,0.005233022574405999,0.05257886054421353,0.6666666666666666,0.2436267222506958,True,,True,True
ema_30,0.04029173403769259,-0.3647080272108871,0.3333333333333333,0.18986678209228466,True,,True,True
rolling_mean_30,0.0366521520477708,-0.3282872108843558,0.3333333333333333,0.18275272436920087,True,,True,True
fourier_yearly_sin_2,0.012078385453079809,0.034450544217680346,0.3333333333333333,0.14204255757602147,True,,True,True
same_weekday_previous_week,0.011228770580264997,0.0013208163265270901,0.3333333333333333,0.1333400142902947,True,,True,True
consumption_lag_7,0.008477967099198427,0.009331173469386063,0.3333333333333333,0.1296658282676991,True,,True,True
consumption_lag_30,0.009451824680025199,-0.01776355442177291,0.3333333333333333,0.12958598722280773,True,,True,True
fourier_yearly_cos_1,0.1213548691696908,0.18313787414965055,0.6666666666666666,0.4983534937237983,True,day_of_year_cos,False,False
day_of_week,0.0049489831391494555,0.006155986394556597,0.3333333333333333,0.1220930507764796,True,,True,False
consumption_lag_365,0.0026659934393252938,0.02132270408162924,0.3333333333333333,0.12085438329683908,True,,True,False
same_period_previous_year,0.0034072168594485156,0.012231785714283678,0.3333333333333333,0.12037089434141274,True,,True,False
fourier_weekly_cos_1,0.003141425577849222,0.0029134863945541184,0.3333333333333333,0.1178707275427585,True,,True,False
fourier_yearly_sin_1,0.02689485830659211,-0.06778147959183868,0.0,0.05256965634434507,True,,True,False
month,0.02298980802094952,-0.13940137755102622,0.0,0.04493670475250492,True,,True,False
day_of_year_sin,0.02254305565200508,-0.14615122448980103,0.0,0.044063466520917936,True,fourier_yearly_sin_1,False,False
rolling_slope_30,0.010697154944129974,-0.0856637244897982,0.0,0.02090904338905886,True,,True,False
rolling_median_30,0.008069755720289137,-0.38156374149660666,0.0,0.015773434467004892,True,,True,False
fourier_weekly_sin_2,0.006108826280248793,-0.010383452380952935,0.0,0.011940531329784683,True,,True,False
rolling_max_7,0.005976697541402683,-0.02889323129252332,0.0,0.01168226774961742,True,,True,False
rolling_min_30,0.00544332892067682,-0.0011049149659873097,0.0,0.010639726280285961,True,,True,False
day_of_week_cos,0.0032228255976479467,-0.012168027210887307,0.0,0.0062994507052147,True,,True,False
fourier_weekly_sin_1,0.0028854879385591258,-0.008574421768710276,0.0,0.00564007839664379,True,,True,False
day_of_week_sin,0.0027083059348134895,-0.001359812925173524,0.0,0.005293752086197025,True,,True,False
fourier_weekly_cos_2,0.0023076452331913327,0.0010462414965973705,0.0,0.004732989078037079,True,,True,False
season,0.0012081513338638688,-0.012296224489797681,0.0,0.002361496004521372,True,,True,False
is_india_holiday,0.00045647118067432225,-0.003569897959184705,0.0,0.0008922349701788487,True,,True,False
is_weekend,0.0002489297373241576,0.0014463095238089827,0.0,0.0007939858543454767,True,,True,False
