model,mae,mse,rmse,r2
prophet,3670.837494118301,20150733.530817807,4488.956842164759,0.7184799044988925
sarimax,6189.737192173067,73563272.36464062,8576.903425166955,-0.027731294734019807
arima,7968.070396486106,84298853.17413424,9181.440691641712,-0.17771500277751762
cnn_1d,8002.184973331044,85062883.37877594,9222.954156818516,-0.18838904875442997
gru,9229.249616685014,107140163.57190102,10350.853277479158,-0.49682437290121495
naive_last,9490.603291381582,116788438.0708031,10806.869947899026,-0.6316176375830085
lstm,9904.09215810445,131346568.6916683,11460.653065670747,-0.835005088289734
seasonal_naive_7,10382.617263092105,137822998.12537074,11739.804007110628,-0.9254854189384267
