epoch_zero_based,loss,val_loss
0,1.5875529050827026,0.14722974598407745
1,0.2918846607208252,0.10963816195726395
2,0.23701366782188416,0.09721621125936508
3,0.1943008154630661,0.0711083933711052
4,0.17307932674884796,0.07254550606012344
5,0.16258342564105988,0.07987614721059799
6,0.16343918442726135,0.07309943437576294
7,0.1517849564552307,0.05699062719941139
8,0.11431068181991577,0.053208108991384506
9,0.11890280246734619,0.07040523737668991
10,0.10412409901618958,0.06462167948484421
11,0.10268981009721756,0.06571420282125473
12,0.0833604708313942,0.028933444991707802
13,0.07963041961193085,0.05492905527353287
14,0.09565313905477524,0.05481502041220665
15,0.08434994518756866,0.047260917723178864
16,0.07039003819227219,0.034732408821582794
17,0.06678140163421631,0.03728920966386795
18,0.07185664772987366,0.04750712215900421
