feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
consumption_lag_1,0.9934549853398598,8253.080908668197,1.0,1.0,True,,True,True
day_of_year_cos,0.0002680019104800213,16.354210055812516,1.0,0.33408378534110983,True,,True,True
consumption_lag_365,4.202602138363411e-05,5.869579345796869,1.0,0.33358450048836974,True,,True,True
day_over_day_change,7.515570304511428e-05,2.8325429931437536,1.0,0.3334729537379477,True,,True,True
rolling_slope_30,0.00038190944322512825,4.335999848372467,0.6666666666666666,0.22252549057338378,True,,True,True
fourier_yearly_cos_2,0.0004999618989294266,-4.8832095545475385,0.6666666666666666,0.22238997412720943,True,,True,True
rolling_slope_7,7.477430368549472e-05,2.1377112814679586,0.6666666666666666,0.2223336511277357,True,,True,True
rolling_min_30,0.00011505993550313078,5.615525093347489,0.3333333333333333,0.11137652230354488,True,,True,True
same_period_previous_year,4.8827481681216816e-05,5.145123627678674,0.3333333333333333,0.11133530034474533,True,,True,True
growth_7d,9.60212624990404e-05,1.5436578131295657,0.3333333333333333,0.11120567579526752,True,,True,True
fourier_yearly_sin_2,0.00010999138257661473,0.9581270975724464,0.3333333333333333,0.11118671420583444,True,,True,True
consumption_lag_30,6.410817686658955e-05,0.9596560377329637,0.3333333333333333,0.1111713807946595,True,,True,True
consumption_lag_14,5.119878065393425e-05,0.6306823932691031,0.3333333333333333,0.11115376241046178,True,,True,True
fourier_weekly_sin_2,4.355281191936904e-05,-0.02429723840044744,0.3333333333333333,0.11112572435900593,True,,True,True
season,2.9873405013825192e-05,-0.003957055087672262,0.3333333333333333,0.11112113451611506,True,,True,True
rolling_std_30,0.0006072692893779834,-0.22059717747468235,0.0,0.0002037566869625996,True,,True,True
rolling_std_7,0.00011626812628073886,-2.5348743158311433,0.0,3.90113720958592e-05,True,,True,True
fourier_yearly_sin_1,9.427990297307684e-05,-1.283666870421128,0.0,3.163367720542258e-05,True,,True,True
is_canada_ontario_holiday,5.254602479463419e-05,-0.4546461335508791,0.0,1.7630735017369125e-05,True,,True,True
day_of_week_sin,4.0120831392007846e-05,-0.4830907974945944,0.0,1.3461717603065346e-05,True,,True,True
rolling_median_7,0.00034961800144640436,37.01965416336963,1.0,0.33494582567929765,True,consumption_lag_1,False,False
rolling_max_7,0.0007931951083656875,21.567710590119418,1.0,0.33447057093918736,True,consumption_lag_1,False,False
fourier_yearly_cos_1,0.00025974890817483906,13.377201947319689,1.0,0.33396077796267204,True,day_of_year_cos,False,False
ema_7,0.0007711657337927773,27.34923359040987,0.6666666666666666,0.22358557801195933,True,consumption_lag_1,False,False
rolling_mean_7,0.000292630564423861,31.16751756914999,0.6666666666666666,0.2235792319132169,True,consumption_lag_1,False,False
rolling_min_7,0.0008270162201691045,19.359038066707683,0.6666666666666666,0.2232816018242001,True,consumption_lag_1,False,False
same_weekday_previous_week,4.3992167339702847e-05,1.183024027627524,0.6666666666666666,0.22228476399383654,True,consumption_lag_1,False,False
consumption_lag_7,3.825903751618627e-05,0.7635376961176424,0.6666666666666666,0.2222658977447746,True,consumption_lag_1,False,False
day_of_year_sin,8.533866646208338e-05,-1.2166903941761877,0.0,2.8633629680056793e-05,True,fourier_yearly_sin_1,False,False
rolling_mean_30,4.736750052199677e-05,0.12182543620377069,0.0,2.081359034351397e-05,True,consumption_lag_14,False,False
ema_30,4.8510905684802553e-05,-0.03676499252121251,0.0,1.627683401216447e-05,True,consumption_lag_14,False,False
rolling_max_30,2.097755144803953e-05,0.12993202311426255,0.0,1.228640373792723e-05,True,,True,False
fourier_weekly_sin_1,3.228838966536191e-05,-0.2989367175365487,0.0,1.0833703302056204e-05,True,,True,False
rolling_median_30,3.153410155092742e-05,-0.47996344146804026,0.0,1.058061748016348e-05,True,consumption_lag_14,False,False
month,1.443225525889849e-05,0.13318623287004053,0.0,1.0221698717787067e-05,True,,True,False
fourier_weekly_cos_1,2.5878774002132486e-05,-0.16574012744556513,0.0,8.683088945152152e-06,True,,True,False
day_of_week_cos,2.222420374324231e-05,-0.1873251336420708,0.0,7.456873259214469e-06,True,,True,False
fourier_weekly_cos_2,1.9802989251011675e-05,-0.34806014217500286,0.0,6.644484666555575e-06,True,,True,False
day_of_week,8.210494346699068e-06,-0.32490995809108275,0.0,2.7548620614787316e-06,True,,True,False
is_weekend,1.8763946955895363e-06,-0.0333830514034086,0.0,6.295855451526821e-07,True,,True,False
