model,mae_mean,mae_std,mse_mean,mse_std,rmse_mean,rmse_std,r2_mean,r2_std
naive_lag_1,230.28439407266993,11.79320083195252,323877.2929743588,273087.47723802045,536.8622605984782,211.11669201963412,0.9956702453471522,0.004277726984140178
linear_regression,303.2483255685191,58.90257129512492,356772.9488013729,331140.0446240125,556.045991544973,243.8898421627597,0.9952606966147872,0.005115953370332317
ridge,303.3491505344008,58.995655116832474,356848.5976010217,331118.5172923155,556.1217528575214,243.86777564824862,0.9952599890896948,0.005115717968008734
random_forest,514.9930632087437,351.9289030441049,1259445.573180514,1433637.6094711695,998.6777225677588,572.3726710232027,0.9873172121700368,0.01043541211524877
gradient_boosting,534.8847670078788,345.79401941670136,1278834.8190452554,1465731.7053615157,1006.5718105283019,576.2464851248898,0.9871790512859796,0.010658924179030735
