fold,model,mae,mse,rmse,r2
1,gradient_boosting,1142.407517103329,3824468.8154729954,1955.6249168674947,0.9698990930631848
1,linear_regression,383.5373925023067,245039.9071162648,495.0150574641794,0.998071386172618
1,naive_lag_1,244.12415156398126,177018.4282987712,420.73558002476,0.9986067567828596
1,random_forest,1135.0383058221616,3743902.9705799436,1934.9167864742772,0.970533195501045
1,ridge,383.821784700593,245320.9180107267,495.29881688807484,0.9980691744451362
2,gradient_boosting,423.32468645374513,873375.4977239312,934.5456102962183,0.9872832705068132
2,linear_regression,334.4497161480055,932219.5355158435,965.5151658652719,0.9864264755625576
2,naive_lag_1,242.03297225908412,796661.4467706098,892.558931819412,0.9884002606637873
2,random_forest,387.74006339193886,875001.5127286832,935.4151552806289,0.9872595950166934
2,ridge,334.53629127503456,932240.7997282826,965.526177650447,0.9864261659463178
3,gradient_boosting,335.68813709921807,297063.0239024055,545.0348831977689,0.9964658543087326
3,linear_regression,253.61265575278776,139178.53547105505,373.0663955263929,0.9983441991029703
3,naive_lag_1,220.03603601895736,148671.74494940738,385.5797517367936,0.9982312588085727
3,random_forest,309.44706712630597,237039.66875641028,486.8671982752692,0.9971799495171431
3,ridge,253.6564342483999,139206.25833876253,373.10354908357886,0.9983438692852361
4,gradient_boosting,305.72386193186145,303398.88441356376,550.8165614917218,0.9955098887860299
4,linear_regression,304.5814608451888,326872.46099076193,571.7276108347068,0.9951624947287808
4,naive_lag_1,221.18891112164306,323215.1280323741,568.5201210444307,0.9952166209387747
4,random_forest,296.32987485239084,349826.0917905883,591.4609807845217,0.9948227955395276
4,ridge,304.6467493369872,326910.4923491049,571.7608699002625,0.9951619318887792
5,gradient_boosting,467.2796324512406,1095867.8737133816,1046.8370807883057,0.9867371497651376
5,linear_regression,240.0604025943066,140554.30491293923,374.9057280343143,0.9982989275070098
5,naive_lag_1,224.03989939968383,173819.71682063144,416.9169183669948,0.9978963295417663
5,random_forest,446.4100048509213,1091457.6220469438,1044.728492024097,0.9867905252757745
5,ridge,240.08449311098937,140564.5195782317,374.9193507652435,0.9982988038830044
