number,value,state,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
0,164.2784050108348,TrialState.COMPLETE,260,10,0.07423898007815308,5,0.7468055921327309,0.7467983561008608,2.9152036385288193e-08,5.3994844097874335
1,160.22155157692399,TrialState.COMPLETE,420,8,0.020751421204777677,8,0.9497327922401265,0.7637017332034828,2.8483918709107956e-07,0.2327067708383781
2,161.22394611763886,TrialState.COMPLETE,260,7,0.0433659187733839,3,0.8835558684167139,0.7418481581956126,2.1734877073417355e-06,0.5404103854647329
3,160.81629464394564,TrialState.COMPLETE,340,9,0.028602658369616396,5,0.8777243706586128,0.7139351238159993,0.0007250347382396634,0.2193048555664369
4,166.82438094313082,TrialState.COMPLETE,180,10,0.11283342460662882,7,0.7913841307520112,0.7293016342019151,0.0029775853025212607,0.7591104805282696
5,165.52817622293762,TrialState.COMPLETE,180,7,0.02127107634629565,8,0.777633994480005,0.8987566853061946,3.116654126398047e-06,1.0968217207529523
6,165.32099626732796,TrialState.COMPLETE,340,5,0.11363535842161894,7,0.9818496824692567,0.9684482051282947,0.0006070155694141794,6.978281265126034
7,171.93571140042195,TrialState.COMPLETE,180,5,0.021688207870295743,3,0.8166031869068446,0.7814047095321688,0.04264813784432918,0.5170191786366992
