fold,model,mae,mse,rmse,r2
1,naive_lag_1,9.89171974522293,696.9426751592357,26.39967187597671,-0.6728142488554323
1,knn,12.602365787079165,587.2272195502404,24.23277160273336,-0.40947325395874357
1,random_forest,17.19532908704883,580.8565888181173,24.100966553607705,-0.3941823523642085
1,bagging,17.618089171974518,602.0551605095542,24.536812354288283,-0.4450635425176408
1,voting,18.02843286713859,668.8142546038437,25.861443397533783,-0.60529991176579
1,svr,18.425662869648608,651.5201439605949,25.524892633674188,-0.5637902787121112
1,gradient_boosting,19.586441275462995,728.176836440544,26.98475192475454,-0.747783040270714
1,decision_tree,19.877388535031848,753.9787022292994,27.45867262322233,-0.8097131390821033
1,ridge,26.339967584066287,1485.3340151856496,38.54003133348038,-2.5651252154196333
1,linear_regression,44.7958213471122,5052.699326219152,71.08234187348607,-11.127579109932528
1,lasso,49.100222530026414,5773.904843582692,75.98621482599782,-12.858629465721458
2,naive_lag_1,10.006560509554138,392.1387828025477,19.802494358099125,-0.06286803279757858
2,svr,10.730214261648978,262.61622675707184,16.205438184667265,0.2881948826404165
2,knn,12.32351228389445,328.1323690107891,18.11442433561688,0.11061741188879781
2,bagging,18.609554140127383,519.7200318471334,22.79736896764917,-0.40866915510624846
2,gradient_boosting,18.836256839564154,573.7582096525898,23.95325050285639,-0.5551363097436193
2,random_forest,19.555138004246285,563.3560926397737,23.73512360700432,-0.5269420118796688
2,voting,20.274112185846608,597.6676503868142,24.447242183665917,-0.6199413771150639
2,ridge,22.5739840400451,728.0329080154604,26.982084945672014,-0.9732883833219912
2,lasso,23.974606447060715,814.8565655060607,28.545692591108395,-1.2086185625452779
2,linear_regression,24.62578584895012,854.8584524363769,29.237962521974353,-1.3170412147653838
2,decision_tree,27.724055201698512,1226.5901693559804,35.022709337742285,-2.324597151638247
3,svr,11.92891621760366,510.32784230027215,22.590436965678023,0.22235921488460597
3,naive_lag_1,12.898471337579613,494.85704331210155,22.24538251665054,0.24593371596864577
3,ridge,12.93502413233773,485.00804888308215,22.022898285263956,0.26094167580453753
3,lasso,13.216793477610906,498.1490154537417,22.31925212577119,0.24091738805429141
3,linear_regression,13.398627499916195,507.8640015944893,22.53583816046098,0.22611363089335845
3,knn,13.445122838944492,464.1622020148185,21.544423919307253,0.292706708752698
3,voting,14.251288082015105,488.42041144647766,22.10023555183242,0.2557418962061202
3,bagging,15.065755414012731,495.9575364382167,22.270104095810076,0.2442567776014407
3,gradient_boosting,15.439328264273387,548.7619306541741,23.425668200804306,0.16379310861847574
3,random_forest,15.581992356687884,517.9953525579051,22.7595112548118,0.21067541438932025
3,decision_tree,29.670345282006686,2179.841883509306,46.68877684743204,-2.32165681197969
4,naive_lag_1,16.488216560509557,763.3508401273889,27.62880453670388,0.479359115076204
4,ridge,20.48505671305954,902.1082090651635,30.03511626521801,0.38472011613123036
4,lasso,20.503381619592172,902.8056313769602,30.046724137199384,0.3842444415783357
4,linear_regression,20.646077000698426,911.2755665271217,30.187341163592425,0.3784675506652513
4,knn,22.738726114649683,993.727283270506,31.523440219470114,0.3222316332965117
4,voting,23.73238469732478,1100.2936499138689,33.17067454716393,0.24954839969575338
4,svr,24.136679325801516,1193.1738008923999,34.54234793543137,0.18619980366977884
4,bagging,25.8070127388535,1263.9864957449674,35.552587750330744,0.13790224221595648
4,random_forest,26.03526963906594,1263.1400381848034,35.54068145357941,0.13847956576105225
4,gradient_boosting,26.287559475419116,1374.1264398857227,37.06921148184464,0.0627816620469076
4,decision_tree,44.97121065766145,3972.317787950153,63.02632614987291,-1.709306048542199
5,naive_lag_1,16.719363057324845,934.7111082802547,30.57304545314802,0.452056917996288
5,lasso,16.86559443049703,763.0058599731369,27.622560706298337,0.5527133690859923
5,ridge,16.876657425122847,762.0480919247861,27.605218563249707,0.5532748285268922
5,linear_regression,16.955884835433856,764.7691319071926,27.65445953019499,0.5516797099699315
5,knn,20.824585987261152,890.0211538801507,29.83322231808275,0.4782549070130787
5,svr,21.38070501299385,1089.9966834457466,33.01509781063425,0.36102595036025675
5,voting,23.436642240326172,949.2341150208981,30.80964321476148,0.443543291697281
5,gradient_boosting,27.765662871457582,1230.3057778747343,35.07571493034368,0.2787744429656127
5,bagging,28.07802675159243,1234.1691888537612,35.130744211498865,0.27650964767202757
5,random_forest,28.383533757961764,1241.3267422149754,35.23246716048956,0.2723137717338827
5,decision_tree,39.05323875405133,2541.199948327223,50.41031589196028,-0.48969336016128584
