model,mae_mean,mae_std,mse_mean,mse_std,rmse_mean,rmse_std,r2_mean,r2_std
naive_lag_1,13.200866242038217,3.3328656695006402,656.4000899363057,215.91050314616015,25.329879748115655,4.300767646930329,0.08833349347762538,0.47755664156883504
knn,16.386862602365788,4.9881515542022274,652.6540455453008,281.86799250255456,25.049656479042074,5.6090056858687625,0.15886748139846854,0.3434924938113411
svr,17.32043553753932,5.845254316375152,741.526939471217,392.53208990488946,26.37564270601702,7.57070103389939,0.09879791456858937,0.3763523459801935
ridge,19.8421379789263,5.162373814014863,872.5062546148283,374.0529885127677,29.037069878576812,6.057518828022268,-0.46789539565579286,1.3185920809068352
voting,19.94457201453025,3.960295041873226,760.8860162743806,254.96445739972447,27.277847778991507,4.583262596195625,-0.05528154025633987,0.5147436312507667
bagging,21.035687643312112,5.602817978311211,823.1776826787267,390.92236044681476,28.057523475915428,6.703829043649349,-0.0390128060268929,0.3579867410642759
random_forest,21.35025256900214,5.594083493929455,833.334962883115,383.1653312689897,28.273750005898556,6.512490257868547,-0.059931122471924426,0.37175409353256106
gradient_boosting,21.58304974523545,5.235306752086619,891.0258389015529,384.97408897271424,29.30171940812071,6.367405145476748,-0.15951402727666744,0.46060207413591625
linear_regression,24.084439306422162,12.309341983528777,1618.2932957368664,1926.0976303867567,36.139588649941764,19.755487463925903,-2.257671886633874,5.014252642071586
lasso,24.732119700957448,14.201632348427255,1750.5443831785183,2254.181035858896,36.90408887727502,22.040661495197458,-2.5778745659096236,5.789842425009242
decision_tree,32.259247686089964,9.853085047170936,2134.7856982743924,1252.5148564125461,44.521360170045966,13.81277429064474,-1.5309933022807052,0.8501914393308204
