model,mae,mse,rmse,r2
naive_last,25.51513227513227,2158.1990931216915,46.45642144119251,-0.2790949056617562
seasonal_naive_7,26.738783068783064,1989.9757899470887,44.609144689705595,-0.17939438646962125
arima,26.785117317530474,1771.6140236671808,42.09054553777108,-0.04997841936533698
lstm,27.18692136902407,1771.2915886424719,42.08671510871895,-0.04978732253890117
sarimax,27.23706664911842,1743.4893506506141,41.75511167091538,-0.0333098339259561
cnn_1d,32.14205296060869,1672.818303321835,40.90010150747593,0.008574613576647572
gru,41.73703495694846,2151.6084782387006,46.3854339015892,-0.27518886105777196
prophet,68.36346556376745,5466.433457525464,73.9353329439008,-2.239778577400018
