Date,actual,selected_model,residual,absolute_error
2020-06-25,131057.1014,128428.6610851524,2628.4403148475976,2628.4403148475976
2019-10-30,105484.2778,103001.62746881606,2482.6503311839333,2482.6503311839333
2020-08-27,118444.7436,120738.83557564468,-2294.091975644682,2294.091975644682
2019-11-08,106806.4989,104913.72265966152,1892.776240338484,1892.776240338484
2020-06-04,117347.0183,115629.03859840236,1717.9797015976364,1717.9797015976364
2019-10-03,106524.0207,108042.77029821972,-1518.7495982197288,1518.7495982197288
2019-07-03,117178.7424,118669.46496083456,-1490.7225608345616,1490.7225608345616
2020-06-18,126140.9153,124780.15584675154,1360.7594532484509,1360.7594532484509
2020-07-03,135002.3896,133662.17665156894,1340.2129484310572,1340.2129484310572
2020-05-20,107409.3968,106280.33164610303,1129.0651538969687,1129.0651538969687
2020-03-27,98978.50841,99992.80425475336,-1014.2958447533601,1014.2958447533601
2020-06-03,115288.2774,114288.54610387808,999.7312961219286,999.7312961219286
2020-01-22,103250.5283,102267.2508261555,983.2774738445005,983.2774738445005
2020-05-30,112856.2934,111875.9756711364,980.3177288635925,980.3177288635925
2020-08-22,121946.1923,120973.64669535474,972.54560464526,972.54560464526
2020-06-26,132036.8656,131099.08590671452,937.779693285469,937.779693285469
2020-07-10,133249.0301,134181.2056495337,-932.1755495336838,932.1755495336838
2020-06-17,124526.417,123601.6457246086,924.7712753913947,924.7712753913947
2020-01-03,102065.793,101217.75270643432,848.0402935656894,848.0402935656894
2020-05-23,110017.1553,109181.63754249428,835.5177575057169,835.5177575057169
