model,mae,rmse,r2,smape_pct
random_forest_baseline,153.045600660387,212.87363587660658,0.9567500219569018,9.207669883662719
ridge_yj_robust,190.39847442268317,256.7121865249541,0.9371022504356534,11.38579579128337
naive_lag_168,276.00581395348837,402.7511234520153,0.8451840662620673,15.003603543686785
naive_lag_24,291.23982558139534,427.0558470640905,0.825934989660097,16.203529120673636
naive_lag_1,336.08793604651163,454.72520084649335,0.8026486133175078,19.777049744668854
