model,mae_mean,mae_std,mse_mean,mse_std,rmse_mean,rmse_std,r2_mean,r2_std
naive_lag_1,230.28439407266993,11.79320083195252,323877.2929743588,273087.47723802045,536.8622605984782,211.11669201963412,0.9956702453471522,0.004277726984140178
ridge,422.41359582698885,198.97492123220843,543384.4746338814,573835.9615778131,665.811693939678,353.6934810804722,0.992984609196216,0.008589784437301066
linear_regression,442.71459561350673,268.3142323922457,721387.9795680126,1052221.9273080928,713.8753112052902,514.5022104174609,0.9901692904311655,0.01565669901382299
random_forest,513.6803113742894,351.48970588402625,1274431.4745731647,1472638.8915257452,999.8970018278796,585.9153739116067,0.9872010038179679,0.010752762668970343
gradient_boosting,540.3192673595436,360.2234939224101,1296134.4897240854,1514583.904380478,1009.6125138307154,588.2357750516678,0.9870548385999296,0.011016756463627306
