model,trial_number,cv_mean_mae,state,parameters_json
random_forest,8,517.1864493645883,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.9543313789155439, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
random_forest,9,745.968160788277,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.5904572976289505, ""min_samples_leaf"": 1, ""n_estimators"": 250}"
random_forest,10,800.140184493993,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.7511693281322854, ""min_samples_leaf"": 8, ""n_estimators"": 200}"
random_forest,11,519.7763503848313,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9873620946720376, ""min_samples_leaf"": 5, ""n_estimators"": 250}"
random_forest,12,552.1933562475648,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.8649913060020347, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
random_forest,13,514.9325788156564,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.9997694841084266, ""min_samples_leaf"": 8, ""n_estimators"": 250}"
random_forest,14,551.9689793361871,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.8514158859875878, ""min_samples_leaf"": 8, ""n_estimators"": 175}"
random_forest,15,571.4442338825655,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.8386224670374003, ""min_samples_leaf"": 7, ""n_estimators"": 200}"
random_forest,16,513.6803113742895,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.9965983968519504, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
random_forest,17,767.0581977407531,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.503287911102331, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
random_forest,18,528.0139776625273,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.9889782654340173, ""min_samples_leaf"": 6, ""n_estimators"": 225}"
random_forest,19,542.6719594774434,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.9098290265842331, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
gradient_boosting,0,747.9836577240324,COMPLETE,"{""learning_rate"": 0.013688090729945365, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
gradient_boosting,1,545.5473086234076,COMPLETE,"{""learning_rate"": 0.06203508872281686, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 125}"
gradient_boosting,2,572.2861193969622,COMPLETE,"{""learning_rate"": 0.08393127889385947, ""max_depth"": 5, ""min_samples_leaf"": 4, ""n_estimators"": 150}"
gradient_boosting,3,1824.798057985583,COMPLETE,"{""learning_rate"": 0.01404816755744128, ""max_depth"": 2, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
gradient_boosting,4,574.9198472047888,COMPLETE,"{""learning_rate"": 0.14037179086758858, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 250}"
gradient_boosting,5,927.9088221727358,COMPLETE,"{""learning_rate"": 0.015171672090844258, ""max_depth"": 3, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
gradient_boosting,6,583.084272177467,COMPLETE,"{""learning_rate"": 0.07328097194130306, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 100}"
gradient_boosting,7,975.23802757681,COMPLETE,"{""learning_rate"": 0.016108895795875783, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
gradient_boosting,8,774.2269133360766,COMPLETE,"{""learning_rate"": 0.039103436758409264, ""max_depth"": 5, ""min_samples_leaf"": 8, ""n_estimators"": 75}"
gradient_boosting,9,573.7163052173513,COMPLETE,"{""learning_rate"": 0.030976244505097006, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 225}"
gradient_boosting,10,560.5584088897999,COMPLETE,"{""learning_rate"": 0.1643022157094854, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 50}"
gradient_boosting,11,561.4535898430092,COMPLETE,"{""learning_rate"": 0.1991322358708506, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 50}"
gradient_boosting,12,570.8943192358411,COMPLETE,"{""learning_rate"": 0.08781428079954048, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 50}"
gradient_boosting,13,569.5579866703778,COMPLETE,"{""learning_rate"": 0.043949392361115884, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 100}"
gradient_boosting,14,567.1892058138412,COMPLETE,"{""learning_rate"": 0.12830470901418897, ""max_depth"": 2, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
gradient_boosting,15,540.9088167032884,COMPLETE,"{""learning_rate"": 0.05597221845637242, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
gradient_boosting,16,540.3192673595436,COMPLETE,"{""learning_rate"": 0.056466352288399115, ""max_depth"": 4, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
gradient_boosting,17,595.7405407091804,COMPLETE,"{""learning_rate"": 0.02247543085082568, ""max_depth"": 4, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
gradient_boosting,18,544.757959051112,COMPLETE,"{""learning_rate"": 0.05247477507657027, ""max_depth"": 4, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
gradient_boosting,19,546.8405537174341,COMPLETE,"{""learning_rate"": 0.02706459049958433, ""max_depth"": 4, ""min_samples_leaf"": 6, ""n_estimators"": 200}"
