model,trial_number,cv_mean_mae,state,parameters_json
ridge,0,430.13964549601576,COMPLETE,"{""alpha"": 0.0745934328572655}"
ridge,1,834.5333253410305,COMPLETE,"{""alpha"": 56.69849511478853}"
ridge,2,594.2135738105178,COMPLETE,"{""alpha"": 4.5705630998014515}"
ridge,3,455.1671082758491,COMPLETE,"{""alpha"": 0.9846738873614566}"
ridge,4,441.3063416717079,COMPLETE,"{""alpha"": 0.006026889128682512}"
ridge,5,441.3064578136885,COMPLETE,"{""alpha"": 0.0060252157362038605}"
ridge,6,442.2492562408218,COMPLETE,"{""alpha"": 0.0019517224641449498}"
ridge,7,736.8407348367949,COMPLETE,"{""alpha"": 21.42302175774105}"
ridge,8,456.7419525626091,COMPLETE,"{""alpha"": 1.0129197956845732}"
ridge,9,562.8482510549935,COMPLETE,"{""alpha"": 3.4702669886504163}"
ridge,10,426.3929889806906,COMPLETE,"{""alpha"": 0.11523215282948066}"
ridge,11,428.61195580725354,COMPLETE,"{""alpha"": 0.08914401041476785}"
ridge,12,431.1786507870688,COMPLETE,"{""alpha"": 0.06579600769599539}"
ridge,13,432.6946484526119,COMPLETE,"{""alpha"": 0.05423185466354641}"
ridge,14,422.41359582698885,COMPLETE,"{""alpha"": 0.2259068363341763}"
ridge,15,424.7664241020978,COMPLETE,"{""alpha"": 0.38133963910897456}"
ridge,16,431.34900898818785,COMPLETE,"{""alpha"": 0.5409245407755795}"
ridge,17,423.1932093746881,COMPLETE,"{""alpha"": 0.32393424767539347}"
ridge,18,438.69616385374195,COMPLETE,"{""alpha"": 0.01824465247426516}"
ridge,19,602.493932775806,COMPLETE,"{""alpha"": 4.920709465227092}"
random_forest,0,707.6162941726432,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.6202948099826744, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
random_forest,1,594.1567178464516,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.7705811061417018, ""min_samples_leaf"": 6, ""n_estimators"": 125}"
random_forest,2,545.0668603165992,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.9010235593143332, ""min_samples_leaf"": 4, ""n_estimators"": 75}"
random_forest,3,921.5480528955625,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.6105144979421857, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
random_forest,4,577.1347490713482,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.9216123471148523, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
random_forest,5,525.7942748777871,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9772440625543326, ""min_samples_leaf"": 4, ""n_estimators"": 225}"
random_forest,6,581.0285453021729,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.9485492899907672, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
random_forest,7,642.3843624515379,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.7716012576402029, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
