statistic,Consumption
count,3800.0
mean,105434.44038381052
std,9758.48521499627
min,82045.44012
1%,89999.30107290001
25%,97701.7130525
50%,103005.27189999999
75%,113081.112225
99%,129452.5371
max,135780.4265
