Date,actual,selected_model,residual,absolute_error
2021-12-26,746.61,906.7078570835753,-160.09785708357526,160.09785708357526
2021-11-06,781.8,935.4621645721512,-153.66216457215126,153.66216457215126
2022-02-02,784.0,886.3361711462046,-102.3361711462046,102.3361711462046
2022-01-31,850.0,925.0218683719638,-75.02186837196382,75.02186837196382
2022-01-12,859.0,924.770690656681,-65.77069065668104,65.77069065668104
2022-02-12,819.43,882.3778698142318,-62.94786981423181,62.94786981423181
2022-02-25,811.94,866.2231465642561,-54.28314656425607,54.28314656425607
2022-02-13,817.65,870.3601780110699,-52.71017801106996,52.71017801106996
2021-11-24,883.0,933.6958545909725,-50.695854590972544,50.695854590972544
2021-12-28,829.62,879.002230627048,-49.38223062704799,49.38223062704799
2021-11-19,891.53,937.3725023564606,-45.842502356460614,45.842502356460614
2022-02-10,834.76,880.1082182840169,-45.348218284016866,45.348218284016866
2022-02-08,840.09,882.1664324195684,-42.07643241956839,42.07643241956839
2022-01-13,935.0,896.6338772459044,38.36612275409561,38.36612275409561
2021-11-20,943.46,905.3188653974858,38.141134602514285,38.141134602514285
2021-12-29,921.41,884.9902514623132,36.419748537686814,36.419748537686814
2022-02-01,855.0,891.2266310251783,-36.226631025178335,36.226631025178335
2022-02-05,857.0,893.1542345587408,-36.15423455874077,36.15423455874077
2022-01-09,943.0,906.9662682829429,36.033731717057094,36.033731717057094
2021-08-17,905.46,939.7337602919747,-34.27376029197467,34.27376029197467
