epoch_zero_based,loss,val_loss
0,3.4279167652130127,3.435431957244873
1,1.8244192600250244,4.372452735900879
2,1.3735605478286743,3.3820791244506836
3,1.0500762462615967,3.4856176376342773
4,0.9664180278778076,3.2181432247161865
5,0.9542246460914612,3.2527289390563965
6,0.8434517979621887,2.991532802581787
7,0.8190205097198486,3.2243118286132812
8,0.7575991749763489,2.9638357162475586
9,0.7607433795928955,3.0792152881622314
10,0.758442759513855,2.9373810291290283
11,0.7128828167915344,2.8799736499786377
12,0.6194815039634705,2.8904285430908203
13,0.6729874014854431,2.859273672103882
14,0.6430989503860474,2.6870481967926025
15,0.5393041968345642,2.812877655029297
16,0.5794417858123779,2.7697947025299072
17,0.5248352289199829,2.807159900665283
18,0.5606503486633301,2.8395729064941406
19,0.5047481060028076,2.7676050662994385
20,0.5162405967712402,2.7279815673828125
