Date,actual,patchtst,naive_lag1,residual,absolute_error
2021-02-14,797.89,925.20123,925.04,-127.31123291015626,127.31123291015626
2021-05-25,788.0,898.6101,933.66,-110.610107421875,110.610107421875
2021-07-12,812.57,904.212,839.18,-91.6419750976562,91.6419750976562
2021-05-10,821.79,905.4183,852.95,-83.62827392578129,83.62827392578129
2021-07-10,839.18,921.8466,932.5,-82.6666186523438,82.6666186523438
2021-07-13,813.07,893.642,812.57,-80.5720288085937,80.5720288085937
2021-07-22,925.36,853.0869,919.75,72.27308593750001,72.27308593750001
2021-05-17,830.06,901.9141,839.82,-71.8541235351563,71.8541235351563
2021-04-13,856.98,920.5176,893.53,-63.53757812499998,63.53757812499998
2021-05-16,839.82,900.807,844.27,-60.98700683593745,60.98700683593745
2021-07-14,837.27,896.936,813.07,-59.66597412109377,59.66597412109377
2021-04-24,853.34,911.16394,878.45,-57.82394042968747,57.82394042968747
2021-05-12,852.19,907.74506,856.34,-55.555056152343695,55.555056152343695
2021-04-11,876.14,930.8593,884.34,-54.719313964843764,54.719313964843764
2021-05-05,857.93,911.2127,878.26,-53.2827075195313,53.2827075195313
2021-05-06,842.41,895.3405,857.93,-52.93051513671878,52.93051513671878
2021-05-11,856.34,907.273,821.79,-50.93301025390622,50.93301025390622
2021-02-15,870.02,919.8006,797.89,-49.78059814453127,49.78059814453127
2021-05-15,844.27,893.614,838.73,-49.34401367187502,49.34401367187502
2021-04-23,878.45,926.1267,909.33,-47.676708984374955,47.676708984374955
